RUN	Data_Exporter.OrderDataExporterSimulation	orderdataexportersimulation	1692849358534	 	3.9.5
REQUEST		Update Order with IDSML	1692849366445	1692849366446	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
USER	Order Data Exporter Update	START	1692849366461
REQUEST		Update Order with IDSML	1692849366461	1692849366461	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366462	1692849366463	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366463	1692849366464	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366464	1692849366464	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366465	1692849366465	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366465	1692849366466	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366466	1692849366466	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366467	1692849366467	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366467	1692849366467	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366470	1692849366470	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366474	1692849366474	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366476	1692849366476	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366477	1692849366477	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366479	1692849366479	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366480	1692849366480	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366481	1692849366481	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366481	1692849366481	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366482	1692849366482	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366482	1692849366482	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366483	1692849366483	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366483	1692849366483	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366484	1692849366484	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366485	1692849366485	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366485	1692849366485	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366486	1692849366486	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366487	1692849366488	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366491	1692849366491	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366492	1692849366492	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366493	1692849366493	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366493	1692849366493	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366494	1692849366494	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366495	1692849366495	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366496	1692849366496	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366497	1692849366497	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366498	1692849366498	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366498	1692849366499	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366500	1692849366500	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366501	1692849366501	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366502	1692849366502	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366504	1692849366505	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
REQUEST		Update Order with IDSML	1692849366508	1692849366508	KO	j.n.UnknownHostException: vip-gl-pp-oms-core.pp.ecom.inet
